,Unnamed: 0,Tag,Stunde,avg_rel_Humidpercent,avg_temp20cm,avg_temp200cm,avg_boden_temp5cm,avg_boden_temp20cm,avg_wind_velocity2_5meter,sum_glob_strahlung_Wh/m2,niederschlag_nn
0,0,31.10.2020,00:00,83.0,12.5,13.2,12.4,12.7,0.8,0.0,0.0
1,1,31.10.2020,01:00,82.9,12.5,13.1,12.3,12.7,0.9,0.0,0.0
2,2,31.10.2020,02:00,83.4,12.2,12.9,12.2,12.7,0.8,0.0,0.0
3,3,31.10.2020,03:00,83.7,11.9,12.8,12.2,12.6,0.5,0.0,0.0
4,4,31.10.2020,04:00,84.5,11.6,12.6,12.2,12.6,0.4,0.0,0.0
5,5,31.10.2020,05:00,84.9,11.5,12.4,12.1,12.6,0.3,0.0,0.0
6,6,31.10.2020,06:00,89.2,11.2,11.9,12.1,12.6,0.1,0.0,0.0
7,7,31.10.2020,07:00,90.8,10.7,11.6,11.9,12.6,0.1,15.5,0.0
8,8,31.10.2020,08:00,91.5,11.2,12.0,11.9,12.6,0.1,91.3,0.0
9,9,31.10.2020,09:00,76.9,12.6,13.9,11.8,12.5,0.5,292.6,0.0
10,10,31.10.2020,10:00,64.8,14.0,15.1,11.8,12.5,1.0,389.1,0.0
11,11,31.10.2020,11:00,63.2,15.0,15.9,11.9,12.5,1.0,477.2,0.0
12,12,31.10.2020,12:00,62.0,15.4,16.4,12.0,12.5,1.0,489.0,0.0
13,13,31.10.2020,13:00,61.0,16.0,16.9,12.2,12.5,1.0,430.0,0.0
14,14,31.10.2020,14:00,60.2,16.1,17.2,12.4,12.5,1.0,331.2,0.0
15,15,31.10.2020,15:00,63.5,15.3,16.8,12.6,12.6,1.0,202.5,0.0
16,16,31.10.2020,16:00,70.3,12.8,15.2,12.5,12.6,0.5,59.3,0.0
17,17,31.10.2020,17:00,80.7,10.8,13.1,12.1,12.7,0.3,0.0,0.0
18,18,31.10.2020,18:00,91.8,9.3,11.3,11.7,12.6,0.2,0.0,0.0
19,19,31.10.2020,19:00,97.5,8.2,10.2,11.3,12.6,0.3,0.0,0.0
20,20,31.10.2020,20:00,99.6,8.7,10.2,10.9,12.5,0.3,0.0,0.0
21,21,31.10.2020,21:00,98.7,10.2,11.2,10.8,12.3,0.5,0.0,0.0
22,22,31.10.2020,22:00,99.0,9.8,10.9,10.8,12.2,0.4,0.0,0.0
23,23,31.10.2020,23:00,97.5,10.6,11.5,10.8,12.1,0.4,0.0,0.0
24,24,01.11.2020,00:00,86.1,12.2,13.2,10.8,12.1,0.7,0.0,0.0
25,25,01.11.2020,01:00,84.6,12.3,13.0,11.0,12.0,0.6,0.0,0.0
26,26,01.11.2020,02:00,80.7,13.1,13.9,11.2,12.0,1.1,0.0,0.0
27,27,01.11.2020,03:00,86.2,12.9,13.6,11.3,12.0,1.1,0.0,0.0
28,28,01.11.2020,04:00,95.6,12.6,13.1,11.4,12.1,0.9,0.0,0.0
29,29,01.11.2020,05:00,99.9,12.5,12.9,11.4,12.1,0.9,0.0,0.0
30,30,01.11.2020,06:00,100.0,12.4,12.7,11.7,12.1,0.9,0.0,0.1
31,31,01.11.2020,07:00,100.0,11.9,12.2,11.7,12.1,1.1,0.0,1.2
32,32,01.11.2020,08:00,100.0,12.1,12.2,11.7,12.2,1.1,29.4,0.6
33,33,01.11.2020,09:00,100.0,12.6,12.5,11.8,12.2,1.2,41.8,0.0
34,34,01.11.2020,10:00,100.0,13.5,13.2,12.1,12.2,1.4,94.5,0.0
